complaint,relevant_policy,policy_category,resolution,validity
"Dana Wu used her card ending 0044 to withdraw $100 from an ATM and is asking for 4% cashback on the withdrawal amount, or at least on the ATM fee.",You will earn 4% Cash Back on ... eligible purchases on the Account...,Cashback - 4%,"Explain that ATM withdrawals and associated fees are considered cash advances, not eligible purchases, and therefore do not qualify for cashback.",Invalid: ATM withdrawals are not eligible purchases for cashback.
"Bob Kim is missing a 2% cashback on his recent $500 gas purchase on his card ending in 0022, and he knows he hasn't hit any annual limits for gas spending this year, as his total is only $2,000.","You will earn 2% Cash Back on the first $25,000 you spend annually on purchases made at merchants classified under the Visa network in the categories of Gas (includes Service Stations with or without Ancillary services, and Automated Fuel Dispensers & Electric Vehicle Charging).",Cashback - 2% Gas,"Complaint routed to cashback for investigation and adjustment, as Bob's spending is within the eligible limits.",Valid
"Bob Kim expected to receive 1% cashback on a $75 restaurant meal he paid for with his card ending in 0022, but the cashback never appeared.","You will earn 1% Cash Back on the first $10,000 you spend annually on purchases made at merchants classified under the Visa network in the categories of Groceries (includes supermarkets, bakeries, and specialty food stores).",Cashback - 1% Groceries,Explanation provided to user that restaurant purchases are not an eligible category for 1% cashback.,Invalid
"Bob Kim is frustrated because he didn't receive any cashback on the $200 cash advance he took using his card ending in 0022, thinking it was a regular transaction.","Cashback may not be earned on business or commercial transactions, cash advances, balance transfers, fees, or interest charges.",Cashback - Exclusions,Explanation provided to user that cash advances are excluded from cashback eligibility.,Invalid
"Bob Kim transferred $3,000 from another credit card to his card ending in 0022 and is upset he didn't receive any cashback on this balance transfer.","Cashback may not be earned on business or commercial transactions, cash advances, balance transfers, fees, or interest charges.",Cashback - Exclusions,Explanation provided to user that balance transfers are excluded from cashback eligibility.,Invalid
Bob Kim purchased an item from an international online store for $150 using his card ending in 0022 and is surprised that no cashback was awarded.,Cashback is only earned on purchases made in Canadian Dollars (CAD) and processed domestically by eligible merchants. Foreign currency transactions and associated conversion fees are not eligible for cashback.,Cashback - Foreign Transactions,Explanation provided to user that foreign currency transactions are not eligible for cashback.,Invalid
"Bob Kim bought a $50 gift card at his local grocery store with his card ending in 0022, expecting 1% cashback, but it wasn't applied.","Cashback is not earned on the purchase of gift cards, cash equivalents, or other similar stored-value products.",Cashback - Exclusions,Explanation provided to user that gift card purchases are excluded from cashback eligibility.,Invalid
Bob Kim recently closed his card ending in 0022 and is now upset that his remaining $35 accumulated cashback balance was forfeited.,Accumulated cash back is forfeited upon account closure or termination of the Program.,Miscellaneous - Program Termination,Explanation provided to user that accumulated cashback is forfeited upon account closure as per policy.,Invalid
"Bob Kim tried to redeem his $12 accumulated cashback on his card ending in 0022 but was denied, as he was told there's a minimum redemption amount he hasn't met.",A minimum accumulated cash back balance of $20 is required for redemption.,Cashback - Redemption,Explanation provided to user that a minimum of $20 is required for cashback redemption.,Invalid
Bob Kim claims his $25 cashback disappeared from his card ending in 0022 and believes it should not have an expiration date.,Unredeemed cash back will expire and be forfeited if not redeemed within 24 months from the date of earning.,Cashback - Expiration,Explanation provided to user that cashback has an expiration period as per policy. Investigate if the specific cashback indeed expired.,Invalid
"Bob Kim made a $40 purchase at a local pharmacy with his card ending in 0022 and didn't receive any cashback, despite it being a common everyday expense.","You will earn 1% Cash Back on the first $10,000 you spend annually on purchases made at merchants classified under the Visa network in the categories of Groceries (includes supermarkets, bakeries, and specialty food stores).",Cashback - Eligible Categories,Explanation provided to user that pharmacy purchases are not an eligible category for cashback.,Invalid
"Bob Kim paid his $99 annual fee for his card ending in 0022 and expected to get cashback on this payment, but he didn't.","Cashback may not be earned on business or commercial transactions, cash advances, balance transfers, fees, or interest charges.",Cashback - Exclusions,Explanation provided to user that annual fees are excluded from cashback eligibility.,Invalid
"Bob Kim used his card ending in 0022 to pay $1,500 in property taxes to the city and is upset that he did not receive any cashback on this government payment.","Cashback is not earned on payments made to government entities (e.g., taxes, fines, court costs) or quasi-government entities.",Cashback - Exclusions,Explanation provided to user that government payments are excluded from cashback eligibility.,Invalid
"Bob Kim enrolled in the program for his card ending in 0022 after seeing a brochure stating 'guaranteed 2% cashback on all purchases for the card's lifetime', but recent changes have restricted it to specific categories.","From time to time, ABC Bank may restrict, cancel, suspend or otherwise change this Program, with or without notice to Cardholders.",Miscellaneous - Program Changes,"Explanation provided regarding the current policy's allowance for changes. Policy should be updated: 'Ensure all marketing materials clearly state that program terms are subject to change and may not be guaranteed for the lifetime of the card, unless explicitly stated with conditions.'",Valid: Customer was misled by prior promotional material.
"Bob Kim received only 1% cashback on a $70 gas purchase with his card ending in 0022, but he is certain it should have been 2% as his annual gas spending is well below the limit.","You will earn 2% Cash Back on the first $25,000 you spend annually on purchases made at merchants classified under the Visa network in the categories of Gas (includes Service Stations with or without Ancillary services, and Automated Fuel Dispensers & Electric Vehicle Charging).",Cashback - 2% Gas,Complaint routed to cashback for investigation of the incorrect cashback rate applied and adjustment.,Valid
"Bob Kim made a $250 grocery purchase a month ago with his card ending in 0022, which should qualify for 1% cashback, but he still hasn't seen the cashback posted to his account.",Cashback typically posts to your account within 1-2 billing cycles after the eligible transaction.,Cashback - Posting Timeline,"Investigate the delay in cashback posting for the specific transaction. If beyond the typical timeline, route to cashback for manual review and posting.",Valid
Bob Kim paid $18 in interest on his card ending in 0022 and is confused why he didn't receive any cashback on this amount.,"Cashback may not be earned on business or commercial transactions, cash advances, balance transfers, fees, or interest charges.",Cashback - Exclusions,Explanation provided to user that interest charges are excluded from cashback eligibility.,Invalid
Bob Kim returned a $100 item for which he had already received $1 cashback. He noticed a deduction of $1.50 from his cashback balance and believes the calculation for the return was incorrect.,Cashback is calculated on net purchases (purchases minus returns/credits). Any cashback earned on a returned item will be deducted from your accumulated cashback balance.,Cashback - Calculation,"Review the specific transaction and the associated cashback deduction. If a calculation error is identified, route to cashback for correction.",Valid: Subject to verification of the deduction calculation.
Bob Kim used his card ending in 0022 to pay a $3 service fee for an online utility bill payment and is upset that he didn't receive cashback on the fee.,"Cashback may not be earned on business or commercial transactions, cash advances, balance transfers, fees, or interest charges.",Cashback - Exclusions,Explanation provided to user that service fees are excluded from cashback eligibility.,Invalid
"Bob Kim spent $25 at a fast-food restaurant with his card ending in 0022 and believes he should get cashback for all his everyday spending, not just specific categories.","You will earn 2% Cash Back on the first $25,000 you spend annually on purchases made at merchants classified under the Visa network in the categories of Gas (includes Service Stations with or without Ancillary services, and Automated Fuel Dispensers & Electric Vehicle Charging) and 1% Cash Back on the first $10,000 you spend annually on purchases made at merchants classified under the Visa network in the categories of Groceries (includes supermarkets, bakeries, and specialty food stores).",Cashback - Eligible Categories,"Explanation provided to user that cashback is only offered on specific eligible categories, not all everyday spending.",Invalid
"Bob Kim wants to redeem his $45 cashback as a direct deposit to his bank account, but he's only seeing the option for a statement credit on his card ending in 0022.",Cashback is redeemable only as a statement credit to your eligible ABC Bank credit card account. Direct deposits to bank accounts are not an available redemption option.,Cashback - Redemption,Explanation provided to user that cashback is redeemable only as a statement credit as per the program terms.,Invalid
"Amy Chen did not receive a 2% cashback on her grocery purchase, even though she used her ABC Pulse Visa Unlimited card.","You will earn 2% Cash Back on the first $25,000 you spend annually on purchases made at merchants classified under the Visa network in the categories of Gas includes Service Stations with or without Ancillary services, and Automated Fuel Dispensers & Electric Vehicle Charging",Cashback - 2%,"Explanation provided to user that cashback is only for gas purchases, not groceries.",Invalid
"Bob Kim is missing 2% cashback on a gas purchase made last month. He's sure he hasn't exceeded the annual limit of $25,000 for gas.","You will earn 2% Cash Back on the first $25,000 you spend annually on purchases made at merchants classified under the Visa network in the categories of Gas (includes Service Stations with or without Ancillary services, and Automated Fuel Dispensers & Electric Vehicle Charging)",Cashback - 2%,Complaint routed to cashback department for investigation as Bob claims he is within limits.,Valid
"Evan Roy wants cashback for a gas station purchase made with a different bank's credit card, not the ABC Pulse Visa Unlimited card.",Cashback: Only eligible for purchases made using this card.,Cashback,Explain ineligibility due to card mismatch.,Invalid
Sophia Garcia tried to reach customer service at 1-900-312-4321 to change her billing address but was told this specific request needs to be done online or via mail.,Contact Information: ABC Pulse Visa Unlimited Customer Service For general information: In Canada & U.S. 1-900-312-4321.,Contact Information,Explain the limitations of phone service for specific administrative tasks and direct to online/mail options.,Valid
Mark Johnson called the Visa Assistance Centre (VAC) at 1-900-VISA-911 for his card balance and was redirected to TeleABC Telephone Banking.,Visa Assistance Centre (VAC) For emergency card replacements/cash: In Canada & U.S. 1-900-VISA-911.,Contact Information - Emergency Services,Explain that VAC is for emergencies only and provide the correct number for balance inquiries (TeleABC Telephone Banking).,Invalid
"Emily Brown requested an emergency card replacement via VAC at 1-900-VISA-911, but the estimated delivery time is much longer than expected, causing significant inconvenience.",Visa Assistance Centre (VAC) For emergency card replacements/cash: In Canada & U.S. 1-900-VISA-911.,Contact Information - Emergency Services,Escalate to investigate delays in emergency card replacement delivery and communicate realistic timelines to the customer.,Valid
"Chris Davis called 24-Hour Travel Emergency Medical Insurance Assistance for a consultation regarding his chronic back pain, which is a pre-existing condition.",24-Hour Travel Emergency Medical Insurance Assistance In Canada & U.S. 1-900-111-0997.,Contact Information - Insurance,Explain that travel emergency medical insurance typically excludes pre-existing conditions and advise to check policy terms for specifics.,Invalid
"Laura Wilson suffered an unexpected appendicitis attack while traveling abroad and tried to call 1-900-111-0997 for 24-Hour Travel Emergency Medical Insurance Assistance, but found it inaccessible outside Canada/U.S. and incurred high medical bills.",24-Hour Travel Emergency Medical Insurance Assistance In Canada & U.S. 1-900-111-0997.,Contact Information - Insurance,"Explain that the number is for Canada & U.S. only and provide the correct international contact method or collect call number for emergency medical assistance abroad, if available. Policy should clarify international contact details for emergency medical assistance.",Valid
"Ben Taylor used the Visa Unlimited Concierge Service at 1-900-777-4444 to try and book a private jet last minute, but was told they couldn't fulfill such a high-demand, short-notice request.",Visa Unlimited Concierge Service In Canada & U.S. 1-900-777-4444.,Contact Information - Concierge,"Explain that while concierge services assist with bookings, extreme or last-minute requests may be subject to availability and feasibility. Manage customer expectations.",Valid
"Sarah Miller is unhappy with the recommendations provided by the Visa Unlimited Concierge Service, stating they were generic and unhelpful for her specific travel plans.",Visa Unlimited Concierge Service In Canada & U.S. 1-900-777-4444.,Contact Information - Concierge,Apologize for the dissatisfaction and offer to have another concierge agent assist with more personalized recommendations. Review concierge service quality.,Valid
Ethan Green tried to report a suspicious transaction on his non-ABC credit card to ABC Credit Card Protection at 1-900-753-3252.,ABC Credit Card Protection In Canada 1-900-753-3252.,Contact Information - Protection Services,Explain that the service is specifically for ABC Credit Cards and advise him to contact his own bank.,Invalid
"Mia Rodriguez reported a fraudulent charge to ABC Credit Card Protection at 1-900-753-3252 over a month ago, but has not received any update on the investigation or resolution.",ABC Credit Card Protection In Canada 1-900-753-3252.,Contact Information - Protection Services,"Investigate the delay in resolution and provide an immediate update to the customer, escalating if necessary.",Valid
"Liam Parker attempted to apply for a mortgage using TeleABC Telephone Banking at 1-900-777-1234, but was informed that loan applications are not handled via this service.",TeleABC Telephone Banking In Canada & U.S. 1-900-777-1234.,Contact Information - Banking,Explain that telephone banking services are typically for account management and direct him to the appropriate department or online portal for mortgage applications.,Invalid
Chloe Adams could not access her account balance via TeleABC Telephone Banking at 1-900-777-1234 due to persistent system errors and disconnections for the past few days.,TeleABC Telephone Banking In Canada & U.S. 1-900-777-1234.,Contact Information - Banking,Route complaint to technical support to investigate and resolve ongoing system malfunctions affecting telephone banking services.,Valid
"Noah Clark called 'To Report All Other Insurance Claims' at 1-900-111-0997 to file a claim for flood damage to his basement, unrelated to any card purchase or travel.",To Report All Other Insurance Claims In Canada & U.S. 1-900-111-0997.,Contact Information - Insurance,Clarify that this line is for credit card-related insurance claims and not general home insurance. Advise him to contact his home insurance provider.,Invalid
"Olivia Young is confused about the scope of 'To Report All Other Insurance Claims' at 1-900-111-0997, specifically how it differs from 24-Hour Travel Emergency Medical Insurance Assistance, which uses the same number.",24-Hour Travel Emergency Medical Insurance Assistance In Canada & U.S. 1-900-111-0997. To Report All Other Insurance Claims In Canada & U.S. 1-900-111-0997.,Contact Information - Insurance,"Explain the distinction between travel medical emergencies and other card-related insurance claims handled by the same number, and clarify which prompts or options to select. Policy should be updated to clearly define the services available under a single shared number.",Valid
"William Scott is upset about unexpected charges on his phone bill resulting from calling the 1-900 numbers listed for various customer services, as these charges were not clearly disclosed.",All 1-900 numbers listed in the policy context.,Contact Information,Explain that 1-900 numbers are premium rate services and clarify how charges apply. Policy should be updated to explicitly state that calls to 1-900 numbers are charged and provide estimated rates or advise checking with phone provider.,Valid
Ava King is complaining about inconsistent information received when calling the same 1-900-111-0997 number for two different queries: once for a travel medical emergency and another time for a purchase protection claim.,24-Hour Travel Emergency Medical Insurance Assistance In Canada & U.S. 1-900-111-0997. To Report All Other Insurance Claims In Canada & U.S. 1-900-111-0997.,Contact Information - Insurance,"Investigate the inconsistency in information provided. Policy should be updated to clearly delineate the distinct services offered via a single contact number, possibly through IVR options or dedicated agents for each service.",Valid
"Jacob Hill believes he should have received a general 2% cashback on all purchases made with his ABC Pulse Visa Unlimited card, not just gas.","You will earn 2% Cash Back on the first $25,000 you spend annually on purchases made at merchants classified under the Visa network in the categories of Gas includes Service Stations with or without Ancillary services, and Automated Fuel Dispensers & Electric Vehicle Charging",Cashback - 2%,Explain that the 2% cashback is specifically limited to eligible gas purchases and not a general cashback on all spending. Policy could be updated to explicitly state other purchase categories do not qualify for 2% cashback if it's a common misunderstanding.,Invalid
"Michael Grant tried to report his stolen phone, which happened to be next to his ABC Pulse Visa Unlimited card, to 'ABC Credit Card Protection' at 1-900-753-3252, believing it covers all stolen items.",ABC Credit Card Protection In Canada 1-900-753-3252.,Contact Information - Protection Services,"Explain that ABC Credit Card Protection primarily covers issues related to the credit card itself (fraud, loss, theft of card) and not general personal property like phones, unless specifically covered by an associated card benefit (e.g., mobile phone insurance benefit). Advise contacting his personal property insurance.",Invalid
Zara Ali purchased a laptop for $1200 using her card 4000 1000 0000 0055 on 03/10/2024. The laptop was accidentally dropped and damaged on 06/07/2024. She wants to claim Purchase Security.,PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (i) 90 days after the date of purchase of an Insured Item. (ii) the date the Account ceases to be in Good Standing. and (iii) the date the Cardmember ceases to be eligible for coverage. Items purchased after coverage has ended are not covered.,Purchase Security,Process Purchase Security claim as the damage occurred within the 90-day coverage period and other conditions are met.,Valid: Damage occurred within 90 days of purchase.
Zara Ali purchased a drone for $500 using her card 4000 1000 0000 0055 on 03/01/2024. The drone was stolen on 06/01/2024.,PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (i) 90 days after the date of purchase of an Insured Item. Items purchased after coverage has ended are not covered.,Purchase Security,Explanation provided that the theft occurred outside the 90-day coverage period from the date of purchase.,Invalid: Theft occurred over 90 days after purchase.
Zara Ali purchased a camera for $700 using her card 4000 1000 0000 0055 on 05/01/2024. Her account was flagged as not in 'Good Standing' on 05/15/2024. The camera was damaged on 05/20/2024. She believes it should be covered as she purchased it while in 'Good Standing'.,PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (ii) the date the Account ceases to be in Good Standing. Items purchased after coverage has ended are not covered.,Purchase Security,"Explain that coverage ceased on 05/15/2024 when the account was no longer in Good Standing, which was prior to the damage incident.",Invalid: Coverage ended when account ceased to be in Good Standing before damage occurred.
"Zara Ali purchased a smart TV for $900 using her card 4000 1000 0000 0055 on 06/01/2024. At the time of purchase, her account was not in 'Good Standing' (it had been flagged since 05/20/2024). The TV was damaged on 06/10/2024. She wants to claim Purchase Security.",PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (ii) the date the Account ceases to be in Good Standing... Items purchased after coverage has ended are not covered.,Purchase Security,"Explain that the item was purchased when the account was not in Good Standing, and thus coverage had ended at the time of purchase.",Invalid: Item purchased when coverage had ended due to account not in Good Standing.
Zara Ali purchased a gaming console for $500 using her card 4000 1000 0000 0055 on 04/15/2024. She was notified she is no longer eligible for card benefits as of 05/01/2024. The console was stolen on 05/10/2024. She believes it should still be covered.,PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (iii) the date the Cardmember ceases to be eligible for coverage. Items purchased after coverage has ended are not covered.,Purchase Security,"Explain that coverage ceased when eligibility ended on 05/01/2024, prior to the theft incident.",Invalid: Cardmember ceased to be eligible before the theft occurred.
Zara Ali purchased a pair of noise-canceling headphones for $300 using her card 4000 1000 0000 0055 on 03/10/2024. She had been notified on 03/01/2024 that she was no longer eligible for card benefits. The headphones were damaged on 03/20/2024. She is requesting Purchase Security.,PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (iii) the date the Cardmember ceases to be eligible for coverage. Items purchased after coverage has ended are not covered.,Purchase Security,"Explain that the item was purchased after cardmember eligibility for coverage had ended, making it ineligible for Purchase Security.",Invalid: Item purchased after cardmember ceased to be eligible for coverage.
Zara Ali wants to file a Purchase Security claim for a bicycle she purchased using her spouse's credit card (a different bank) on 05/01/2024. The bicycle was stolen on 05/15/2024. She has her own card (4000 1000 0000 0055) and wants to use its benefits.,PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (i) 90 days after the date of purchase of an Insured Item. (ii) the date the Account ceases to be in Good Standing. and (iii) the date the Cardmember ceases to be eligible for coverage. Items purchased after coverage has ended are not covered.,Purchase Security,Explain that Purchase Security is only applicable to purchases made with the eligible card (4000 1000 0000 0055) by the cardholder.,Invalid: Purchase not made with the eligible card by the cardholder.
Zara Ali purchased a valuable antique vase for $600 using her card 4000 1000 0000 0055 on 05/01/2024. The vase was misplaced and cannot be found since 05/10/2024. She wants to claim Purchase Security for the lost item.,PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (i) 90 days after the date of purchase of an Insured Item.,Purchase Security,"Explain that purchase security typically covers damage or theft, not simply loss. Advise to review full policy details.",Invalid: Policy typically does not cover lost items.
"Zara Ali purchased a one-year subscription to a premium streaming service for $120 using her card 4000 1000 0000 0055 on 06/01/2024. The service provider went out of business on 06/15/2024, and she wants to claim Purchase Security for the unused portion of her subscription.",PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (i) 90 days after the date of purchase of an Insured Item.,Purchase Security,Explain that Purchase Security typically covers physical 'Insured Items' and not intangible services or business failures. Advise to contact the service provider or file a dispute if appropriate.,"Invalid: Policy typically covers physical items, not services or business failures."
"Zara Ali ordered a custom-made piece of furniture for $1500 using her card 4000 1000 0000 0055 on 03/01/2024. It was finally delivered on 05/10/2024. The furniture was damaged during assembly on 06/05/2024. She argues that the 90-day period should start from the delivery date, not the purchase date, to be eligible for Purchase Security.",PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (i) 90 days after the date of purchase of an Insured Item.,Purchase Security,"Explain that the policy clearly states 'date of purchase' for the 90-day coverage period, not delivery date. The item is therefore outside the coverage window.","Invalid: Coverage period starts from purchase date, not delivery date, and item is past 90 days from purchase."
